contract_id,blocked,day_or_month_contract,rt_log,n_urls_log,n_urls_1_log,has_urls,has_many_urls,has_both_competitors,has_urls_1,days_from_last_url_log,has_top_urls,has_bottom_urls,n_requests_log,n_requests_1_log,has_requests,has_requests_1,has_many_requests,days_from_last_request,n_types,has_repeated,has_repeated_last_week,has_repeated_last_month,has_top_types,has_bottom_types,lda_urls,lda_requests,has_urls__has_requests_1,has_urls__has_bottom_types,has_many_urls__has_both_competitors,has_many_urls__has_top_urls,has_many_urls__has_many_requests,has_many_urls__has_repeated_last_month,has_many_urls__day_or_month_contract,has_both_competitors__has_top_urls,has_both_competitors__has_bottom_urls,has_both_competitors__has_many_requests,has_both_competitors__has_repeated_last_month,has_both_competitors__has_bottom_types,has_both_competitors__day_or_month_contract,has_urls_1__has_top_urls,has_urls_1__has_requests_1,has_urls_1__has_many_requests,has_urls_1__has_repeated_last_month,has_top_urls__has_bottom_urls,has_top_urls__has_requests_1,has_top_urls__has_bottom_types,has_bottom_urls__has_many_requests,has_bottom_urls__day_or_month_contract,has_requests_1__has_many_requests,has_requests_1__has_top_types,has_requests_1__has_bottom_types,has_bottom_types__day_or_month_contract,visits_pca_1,visits_pca_2,visits_pca_3,visits_pca_4,requests_pca_1,requests_pca_2,requests_pca_3
7780,0,0,0.0,83.0,83.0,1,0,0,1,1.0,1,0,9.0,1.0,1,1,1,1.0,4,1,0,1,1,0,0.5369453050862033,0.9997851419865583,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,-1.1769609508557952,-0.7820032072709538,-0.19527644373368602,-0.5858868330715806,-0.16179214146651563,-0.9921102739556317,0.7033794262340737
7785,0,0,3.0,10.0,0.0,1,0,1,0,8.0,1,0,1.0,0.0,1,0,0,30.0,1,0,0,0,0,0,0.1249632768438653,0.32757362884740693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1873105703078353,-0.7787024508785318,-0.8711594364798044,-0.5802863961811329,-0.16629982201892984,-1.0621358561927512,0.8833070609766763
7794,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5603040812828204,0.2449103784071493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043231564,-0.7779343983788617,-0.8981503663610808,-0.5790857178439468,-0.16622205463444265,-1.062308106115308,0.8833474018874531
7795,0,1,0.0,0.0,0.0,0,0,0,0,35.0,0,0,7.0,0.0,1,0,1,36.0,2,1,0,0,1,0,0.5514254118653142,0.3414079290752942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043231016,-0.7779343983788881,-0.8981503663602692,-0.5790857178454596,0.037013905095033765,3.5014858496432044,0.08363911262043863
7798,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,3.0,0.0,1,0,0,12.0,1,1,0,0,1,0,0.5663491006139193,0.19217791313396576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043231704,-0.7779343983785808,-0.898150366361084,-0.5790857178442333,-0.15624112080402872,-0.06028986509129492,-1.617621227277898
7799,0,0,0.0,1.0,0.0,1,0,0,0,18.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.22254355155526262,0.2240156507130324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1908502798769762,-0.777798299946563,-0.898155321475753,-0.579198875661184,-0.16622205463445588,-1.0623081061154307,0.8833474018874538
7801,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5598244293702691,0.2477372537901729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043230234,-0.7779343983788544,-0.8981503663610801,-0.5790857178439548,-0.16622205463442508,-1.0623081061152895,0.8833474018874361
7805,0,0,2.0,2.0,1.0,1,0,0,1,3.0,1,0,8.0,1.0,1,1,1,4.0,4,1,0,1,1,0,0.22411484755533748,0.3279016851183387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,-1.190755665604792,-0.7782547709944293,-0.8947056628082046,-0.5794055620207945,-0.10266685538403388,0.8863795996888824,-1.3470077251809904
7807,0,0,0.0,1.0,0.0,1,0,0,0,32.0,0,0,3.0,0.0,1,0,0,12.0,1,1,0,1,1,0,0.7854698061597355,0.44245989786157436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1896902595863708,-0.7780927187400621,-0.8774511380799598,-0.5796208840997223,-0.021280785210146688,1.6090236799357533,2.159292656811351
7816,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5521370252765185,0.25194130562496175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043230756,-0.7779343983788676,-0.898150366361118,-0.5790857178439659,-0.16622205463444964,-1.0623081061153092,0.8833474018874392
7818,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5598244293702691,0.2477372537901729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.190771204323149,-0.777934398378858,-0.8981503663610322,-0.579085717843948,-0.16622205463444495,-1.0623081061153143,0.8833474018874459
7819,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,7.0,4.0,1,1,1,3.0,6,1,0,0,1,0,0.5663491006139193,0.9338824732632146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1.1907712043230776,-0.7779343983788545,-0.898150366361085,-0.5790857178439384,-0.11640804258748705,-0.13728893118142546,1.2479923160500086
7821,0,0,13.0,29.0,6.0,1,0,1,1,2.0,1,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.15370070143085884,0.24437918520790414,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.1915064039977978,-0.7787077467928097,-0.875591362549863,-0.5822381389475657,-0.16622205463451967,-1.0623081061152984,0.8833474018874204
7827,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,1.0,0.0,1,0,0,18.0,1,0,0,0,0,0,0.5610409363776058,0.9798779342905535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043231207,-0.7779343983788634,-0.8981503663610814,-0.5790857178439436,-0.16627631456657013,-1.0636564797641552,0.8855990050483101
7828,0,1,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5610409363776058,0.2240156507130324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043231349,-0.7779343983788519,-0.8981503663610559,-0.5790857178439495,-0.16622205463444464,-1.062308106115311,0.8833474018874433
7834,0,0,6.0,13.0,0.0,1,0,1,0,26.0,1,0,2.0,0.0,1,0,0,5.0,1,1,0,0,1,0,0.13840564881173292,0.19000045129548734,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1840628012965693,-0.6933072717461276,-0.5585006516637664,2.1039152414888687,-0.15956809874748473,-0.39429594543266566,-0.7839650175560936
7837,0,1,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5603040812828204,0.2449103784071493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043232492,-0.7779343983789595,-0.8981503663610357,-0.5790857178445321,-0.16622205463444534,-1.062308106115316,0.8833474018874236
7840,0,0,7.0,15.0,2.0,1,0,1,1,1.0,1,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.16963033901322103,0.2477372537901729,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.191349423240868,-0.7779669150749939,-0.886133544842728,-0.5811104350012343,-0.16622205463444356,-1.0623081061153068,0.8833474018875012
7843,0,0,0.0,0.0,0.0,0,0,0,0,35.0,0,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.5514254118653142,0.24180961133651271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1907712043230139,-0.7779343983788631,-0.8981503663610859,-0.5790857178439399,-0.16622205463444373,-1.0623081061152855,0.883347401887416
7847,0,0,5.0,44.0,2.0,1,0,1,1,4.0,1,0,0.0,0.0,0,0,0,59.0,0,0,0,0,0,0,0.1232489979711464,0.2449103784071493,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.160207595566873,-0.7823737942744058,0.47327238900236385,-0.5972095800592448,-0.16622205463444512,-1.0623081061153086,0.883347401887414
