contract_id,day_or_month_contract,rt_log,n_urls_log,n_urls_1_log,has_urls,has_many_urls,has_both_competitors,has_urls_1,days_from_last_url_log,days_from_first_url,has_top_urls,has_bottom_urls,n_requests_log,n_requests_1_log,has_requests,has_requests_1,has_many_requests,days_from_last_request,days_from_first_request,n_types,has_repeated,has_repeated_last_week,has_repeated_last_month,has_top_types,has_bottom_types,meta,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,blocked
7780,0.0,0.0,4.430816798843313,4.430816798843313,1,0,0,1,0.6931471805599453,2.0,1.0,0.0,2.302585092994046,0.6931471805599453,1,1,1,1,43.0,4,1.0,0.0,1.0,1.0,0.0,0.3077198504178839,-0.13449020232050127,-0.12930500425603392,-0.12068582437543761,-0.15400053032351757,-0.00369907532526014,0.03329151058529743,0.11608723584911376,-0.2443041148140863,0.22021484866932842,0.002819211090144226,-0.006487907298800313,0.0020583422547081403,0
7785,0.0,1.3862943611198906,2.3978952727983707,0.0,1,0,1,0,2.1972245773362196,27.0,1.0,0.0,0.6931471805599453,0.0,1,0,0,30,30.0,1,0.0,0.0,0.0,0.0,0.0,0.004719789011919313,-0.16115586916511643,-0.22912603462805123,0.10938522187837593,0.00364125003646314,-0.07850184574364169,0.05334489082570138,0.07398429708017941,-0.09909760022054497,-0.04070329574070525,-0.026892807063624357,0.09422713823676347,-0.017703645925238577,0
7794,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6256018902180251,0.8228088358972271,0.054432283192742174,0.029992528810314688,0.021502894171992703,-0.0008929127824206031,-0.0027245603238769713,-0.006560194678975625,0.011232731686556986,0.0056794038443091135,0.0003182333094130763,-0.000267864496505636,0.0007513857652845381,0
7795,1.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,2.0794415416798357,0.0,1,0,1,36,52.0,2,1.0,0.0,0.0,1.0,0.0,0.5663823808024149,-0.27683998900471546,0.19524441796894887,-0.31162401859416683,0.48690229475569624,-0.009852639078074403,-0.26883889736310307,0.09703405054068852,0.04841493592618788,0.03471319792775871,0.3533320198959577,0.0946644909197914,0.052592988953714614,0
7798,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,1.3862943611198906,0.0,1,0,0,12,47.0,1,1.0,0.0,0.0,1.0,0.0,0.3815203495862482,-0.367324595518521,0.7447990725187094,0.24513204052107018,-0.046331419849551775,-0.0008204378789513205,-0.04111919532203105,0.03558672887979875,0.002204244070325293,0.013727626275285761,-0.21367145243028166,-0.028451830690148384,0.009876955898642141,0
7799,0.0,0.0,0.6931471805599453,0.0,1,0,0,0,2.9444389791664403,18.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.017814700655681612,-0.18066998574931853,-0.25862485726358997,0.0741357556032966,-0.15165787466468306,0.7434955596942637,-0.231191360586431,-0.20392395317227857,0.02786187386032167,-0.005561057910970834,-0.0034625574013979286,0.043651011532065534,-0.00894263430607492,0
7801,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6215241656264076,0.8228088358972271,0.054432283192741904,0.029992528810313973,0.02150289417199198,-0.0008929127824205203,-0.002724560323877589,-0.006560194678974547,0.011232731686556719,0.005679403844308958,0.0003182333094115713,-0.00026786449650865237,0.0007513857652844946,0
7805,0.0,1.0986122886681096,1.0986122886681096,0.6931471805599453,1,0,0,1,1.3862943611198906,35.0,1.0,0.0,2.1972245773362196,0.6931471805599453,1,1,1,4,35.0,4,1.0,0.0,1.0,1.0,0.0,0.09565060445080553,-0.25776727560057694,0.04921488283171439,0.07846040369619539,-0.005396904486209344,-0.179520888902941,-0.12207514258557425,-0.06560765090064707,0.042390822210453864,-0.00043447711975044617,0.06587869685468391,-0.119775631704444,-0.0179614954061074,0
7807,0.0,0.0,0.6931471805599453,0.0,1,0,0,0,3.4965075614664802,32.0,0.0,0.0,1.3862943611198906,0.0,1,0,0,12,43.0,1,1.0,0.0,1.0,1.0,0.0,0.9510963546732569,-0.17428357441306103,-0.1098587017097692,-0.3410570386814294,0.29682544216472617,-0.0024677855731351237,-0.17624880845681104,0.12161082222134456,-0.03350461887776934,-0.020113772556224367,-0.06668656205105603,-0.013236049846161082,-0.016255247894704408,0
7816,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6363372519938147,0.8228088358972271,0.054432283192741904,0.029992528810313973,0.0215028941719919,-0.0008929127824207318,-0.0027245603238776096,-0.006560194678975406,0.011232731686557041,0.005679403844308855,0.0003182333094108401,-0.00026786449650788785,0.0007513857652849078,0
