contract_id,day_or_month_contract,rt_log,n_urls_log,n_urls_1_log,has_urls,has_many_urls,has_both_competitors,has_urls_1,days_from_last_url_log,days_from_first_url,has_top_urls,has_bottom_urls,n_requests_log,n_requests_1_log,has_requests,has_requests_1,has_many_requests,days_from_last_request,days_from_first_request,n_types,has_repeated,has_repeated_last_week,has_repeated_last_month,has_top_types,has_bottom_types,meta,has_urls__has_requests_1,has_urls__has_bottom_types,has_many_urls__has_both_competitors,has_many_urls__has_top_urls,has_many_urls__has_many_requests,has_many_urls__day_or_month_contract,has_both_competitors__has_top_urls,has_urls_1__has_top_urls,has_urls_1__has_requests_1,has_urls_1__has_many_requests,has_urls_1__has_repeated_last_week,has_urls_1__has_repeated_last_month,has_top_urls__has_requests_1,has_top_urls__has_repeated_last_week,has_top_urls__has_bottom_types,has_bottom_urls__day_or_month_contract,has_requests_1__has_repeated,has_requests_1__has_bottom_types,has_many_requests__has_repeated_last_week,has_repeated_last_week__has_bottom_types,has_bottom_types__day_or_month_contract,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,blocked
7780,0.0,0.0,4.430816798843313,4.430816798843313,1,0,0,1,0.6931471805599453,2.0,1.0,0.0,2.302585092994046,0.6931471805599453,1,1,1,1,43.0,4,1.0,0.0,1.0,1.0,0.0,0.5536761288611779,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,-0.13449020232050168,-0.12930500426888222,-0.12068582443984305,-0.15400053140984,-0.0036990850120737716,0.033291512604956386,0.1160872261058451,-0.2443059101236813,0.22021706105530006,0.0027771578624038733,-0.006392427420538551,0.0021642951029041658,0
7785,0.0,1.3862943611198906,2.3978952727983707,0.0,1,0,1,0,2.1972245773362196,27.0,1.0,0.0,0.6931471805599453,0.0,1,0,0,30,30.0,1,0.0,0.0,0.0,0.0,0.0,0.21885775016636794,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16115586916516006,-0.22912603475264043,0.1093852215278098,0.003641240084464719,-0.0785019221639118,0.05334485299139936,0.07398420547434918,-0.09910014789803208,-0.040650702438323895,-0.02733011261971064,0.09635905625831141,-0.017803566666417633,0
7794,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4893566984811041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8228088358972077,0.05443228319307784,0.029992528810950464,0.021502894185944466,-0.0008929127683388897,-0.002724560330547814,-0.006560194686870314,0.011232728165962052,0.0056793252300154536,0.00031702062325291146,-0.00026856991039296145,0.0007557452198276451,0
7795,1.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,2.0794415416798357,0.0,1,0,1,36,52.0,2,1.0,0.0,0.0,1.0,0.0,0.5149174501823448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27683998900473145,0.19524441808920992,-0.31162401868361367,0.4869023072120253,-0.009852619272984068,-0.268838861782723,0.09703406861256456,0.04841424697172012,0.034599701965701495,0.3524246171844911,0.09471430063943213,0.05493727336128422,0
7798,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,1.3862943611198906,0.0,1,0,0,12,47.0,1,1.0,0.0,0.0,1.0,0.0,0.364464947754352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36732459551852165,0.7447990725111556,0.24513204050624696,-0.046331419536974366,-0.0008204327658003017,-0.041119198477215485,0.035586731481065635,0.002204264937925978,0.01372970685217182,-0.21347678508209697,-0.028965405724608012,0.009426945959880714,0
7799,0.0,0.0,0.6931471805599453,0.0,1,0,0,0,2.9444389791664403,18.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1279473219681278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1806699857492782,-0.2586248572191506,0.07413575510848015,-0.15165787243669945,0.7434955382193287,-0.23119135389614354,-0.20392394307992992,0.027854336456681054,-0.00562143704425845,-0.004345519766976958,0.044438431922972525,-0.008735438414433909,0
7801,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.48905418530220085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8228088358972258,0.05443228319306502,0.02999252881092654,0.021502894185938135,-0.0008929127683522314,-0.002724560330538699,-0.006560194686872424,0.011232728165963927,0.0056793252300000345,0.00031702062325628864,-0.0002685699103940408,0.0007557452198246196,0
7805,0.0,1.0986122886681096,1.0986122886681096,0.6931471805599453,1,0,0,1,1.3862943611198906,35.0,1.0,0.0,2.1972245773362196,0.6931471805599453,1,1,1,4,35.0,4,1.0,0.0,1.0,1.0,0.0,0.325402967414631,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,-0.2577672756006698,0.0492148828301527,0.07846040373428077,-0.005396908250897717,-0.17952096349621408,-0.12207517728189195,-0.06560772574790814,0.04238792827937451,-0.0003639630343533383,0.06516083836619424,-0.11739409769341941,-0.014754820107489375,0
7807,0.0,0.0,0.6931471805599453,0.0,1,0,0,0,3.4965075614664802,32.0,0.0,0.0,1.3862943611198906,0.0,1,0,0,12,43.0,1,1.0,0.0,1.0,1.0,0.0,0.6606492703772066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17428357441305617,-0.10985870173531746,-0.34105703864646625,0.29682543964324565,-0.002467787788592269,-0.17624881208158158,0.12161081918654888,-0.033504062160816445,-0.02008839597510821,-0.06641704024334893,-0.013551172738650146,-0.016890577495822824,0
7816,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4931784784012296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8228088358972259,0.0544322831930647,0.02999252881092645,0.021502894185938027,-0.0008929127683433604,-0.002724560330537241,-0.006560194686871369,0.011232728165962588,0.005679325229999127,0.000317020623253928,-0.00026856991038951564,0.0007557452198262853,0
